"filename", "language", "TypeScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"/Users/dimerson/Desktop/Projects/Maxticker/src/api/index.ts", "TypeScript", 38, 0, 0, 15, 11, 64
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/Add.tsx", "TypeScript JSX", 0, 558, 0, 4, 35, 597
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/AddTimer.tsx", "TypeScript JSX", 0, 138, 0, 9, 15, 162
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/AnalyticsHeader.tsx", "TypeScript JSX", 0, 66, 0, 3, 6, 75
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/CustomButton.tsx", "TypeScript JSX", 0, 52, 0, 0, 4, 56
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/CustomInput.tsx", "TypeScript JSX", 0, 75, 0, 0, 5, 80
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/CustomPasswordInput.tsx", "TypeScript JSX", 0, 84, 0, 0, 5, 89
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/Edit.tsx", "TypeScript JSX", 0, 542, 0, 8, 33, 583
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/ErrorText.tsx", "TypeScript JSX", 0, 20, 0, 0, 4, 24
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/GeneralCard.tsx", "TypeScript JSX", 0, 1780, 0, 43, 151, 1974
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/Laps.tsx", "TypeScript JSX", 0, 82, 0, 0, 8, 90
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/ModalComponent.tsx", "TypeScript JSX", 0, 153, 0, 4, 11, 168
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/PlusTimer.tsx", "TypeScript JSX", 0, 148, 0, 9, 15, 172
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/Stopwatch.tsx", "TypeScript JSX", 0, 494, 0, 23, 54, 571
"/Users/dimerson/Desktop/Projects/Maxticker/src/components/Timer.tsx", "TypeScript JSX", 0, 267, 0, 5, 17, 289
"/Users/dimerson/Desktop/Projects/Maxticker/src/constants/Colors.ts", "TypeScript", 17, 0, 0, 1, 1, 19
"/Users/dimerson/Desktop/Projects/Maxticker/src/constants/api.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"/Users/dimerson/Desktop/Projects/Maxticker/src/contexts/ScrollContext.tsx", "TypeScript JSX", 0, 0, 0, 79, 11, 90
"/Users/dimerson/Desktop/Projects/Maxticker/src/contexts/SubscriptionContext.tsx", "TypeScript JSX", 0, 72, 0, 1, 13, 86
"/Users/dimerson/Desktop/Projects/Maxticker/src/contexts/TaskContext.tsx", "TypeScript JSX", 0, 246, 0, 22, 26, 294
"/Users/dimerson/Desktop/Projects/Maxticker/src/images/ImageAssets.tsx", "TypeScript JSX", 0, 2, 0, 2, 1, 5
"/Users/dimerson/Desktop/Projects/Maxticker/src/navigation/AppNavigator.tsx", "TypeScript JSX", 0, 827, 0, 10, 54, 891
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/AllScreen.tsx", "TypeScript JSX", 0, 11, 0, 0, 4, 15
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/AnalyticsScreen.tsx", "TypeScript JSX", 0, 430, 0, 13, 38, 481
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/ChangePassword.tsx", "TypeScript JSX", 0, 149, 0, 1, 13, 163
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/ColorScheme.tsx", "TypeScript JSX", 0, 11, 0, 0, 4, 15
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/DailyScreen.tsx", "TypeScript JSX", 0, 264, 0, 55, 39, 358
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/EmailScreen.tsx", "TypeScript JSX", 0, 130, 0, 0, 12, 142
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/HistoryScreen.tsx", "TypeScript JSX", 0, 11, 0, 0, 4, 15
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/HomeScreen.tsx", "TypeScript JSX", 0, 1178, 0, 52, 83, 1313
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/Initializer.tsx", "TypeScript JSX", 0, 25, 0, 1, 6, 32
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/MonthlyScreen.tsx", "TypeScript JSX", 0, 231, 0, 63, 35, 329
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/MultipleScreen.tsx", "TypeScript JSX", 0, 85, 0, 3, 10, 98
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/PasswordScreen.tsx", "TypeScript JSX", 0, 325, 0, 3, 20, 348
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/PersonalInfoScreen.tsx", "TypeScript JSX", 0, 168, 0, 1, 12, 181
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/PrivacyPolicy.tsx", "TypeScript JSX", 0, 122, 0, 1, 9, 132
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/ProfileScreen.tsx", "TypeScript JSX", 0, 145, 0, 0, 15, 160
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/SendFeedbackScreen.tsx", "TypeScript JSX", 0, 11, 0, 0, 4, 15
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/Terms.tsx", "TypeScript JSX", 0, 126, 0, 1, 9, 136
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/WeeklyScreen.tsx", "TypeScript JSX", 0, 261, 0, 61, 41, 363
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/about/AboutScreen.tsx", "TypeScript JSX", 0, 84, 0, 1, 7, 92
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/account/AccountScreen.tsx", "TypeScript JSX", 0, 88, 0, 38, 8, 134
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/AuthScreen.tsx", "TypeScript JSX", 0, 127, 0, 1, 8, 136
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/ConfirmOtpScreen.tsx", "TypeScript JSX", 0, 250, 0, 1, 16, 267
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/DetailsScreen.tsx", "TypeScript JSX", 0, 411, 0, 8, 19, 438
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/ForgotPasswordScreen.tsx", "TypeScript JSX", 0, 246, 0, 0, 17, 263
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/LoginScreen.tsx", "TypeScript JSX", 0, 275, 0, 1, 13, 289
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/SetNewPasswordScreen.tsx", "TypeScript JSX", 0, 247, 0, 1, 18, 266
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/SignupScreen.tsx", "TypeScript JSX", 0, 271, 0, 0, 18, 289
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/auth/VerifyScreen.tsx", "TypeScript JSX", 0, 258, 0, 1, 17, 276
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/notifications/NotificationsScreen.tsx", "TypeScript JSX", 0, 11, 0, 0, 4, 15
"/Users/dimerson/Desktop/Projects/Maxticker/src/screens/suscription/Plus.tsx", "TypeScript JSX", 0, 622, 0, 54, 40, 716
"/Users/dimerson/Desktop/Projects/Maxticker/src/store/index.ts", "TypeScript", 12, 0, 0, 1, 3, 16
"/Users/dimerson/Desktop/Projects/Maxticker/src/store/user/index.ts", "TypeScript", 700, 0, 0, 36, 47, 783
"/Users/dimerson/Desktop/Projects/Maxticker/src/utils/analyticsHeaderHelper.tsx", "TypeScript JSX", 0, 49, 0, 2, 2, 53
"/Users/dimerson/Desktop/Projects/Maxticker/src/utils/analyticsHelper.ts", "TypeScript", 141, 0, 0, 6, 39, 186
"/Users/dimerson/Desktop/Projects/Maxticker/src/utils/eventEmitter.tsx", "TypeScript JSX", 0, 2, 0, 0, 2, 4
"/Users/dimerson/Desktop/Projects/Maxticker/src/utils/privacy.html", "HTML", 0, 0, 71, 0, 1, 72
"/Users/dimerson/Desktop/Projects/Maxticker/src/utils/themeContext.tsx", "TypeScript JSX", 0, 34, 0, 0, 10, 44
"Total", "-", 909, 12264, 71, 644, 1128, 15016